AirportID,StationID,CountryName,CityName,AirportName,StationPosition,ObservationTime,MetarText,MetarTime,WindDirection,WindSpeed,Visibility,Ceiling,Temperature,WeatherDescription,UpdateTime
LZN,RCFG,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '南竿', 'En': 'Nangan'}","{'Zh_tw': '南竿機場', 'En': 'Nangan Airport'}","{'PositionLon': 119.957, 'PositionLat': 26.1606, 'GeoHash': 'wstkcdqh8'}",2023-07-13T19:00:00+08:00,METAR RCFG 131100Z 18006KT 150V220 9999 FEW012 SCT120 28/27 Q1006  NOSIG RMK 19004KT/R03 MAX WND 09KT/R21 16013KT/NJL A2971(G)=  ,2023-07-13_19:00:00,180度,"6浬/時,陣風浬/時",10公里以上,無,28度C,"{'Zh_tw': '晴時多雲', 'En': 'Partly Cloudy'}",2023-07-14T00:26:53+08:00
RMQ,RCMQ,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '臺中', 'En': 'Taichung'}","{'Zh_tw': '臺中國際機場', 'En': 'Ching Chung Kang Airport'}","{'PositionLon': 120.62, 'PositionLat': 24.27, 'GeoHash': 'wsmf0f0yc'}",2023-07-14T00:00:00+08:00,METAR RCMQ 131600Z 00000KT  9999    FEW012 26/24 Q1006   RMK A2972  AWOS R36 WIND N/A=   ,2023-07-14_00:00:00,,靜風,10公里以上,無,26度C,"{'Zh_tw': '晴朗', 'En': 'Clear'}",2023-07-14T00:26:53+08:00
MZG,RCQC,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '澎湖', 'En': 'Penghu'}","{'Zh_tw': '澎湖', 'En': 'Penghu Airport'}","{'PositionLon': 119.62, 'PositionLat': 23.58, 'GeoHash': 'wsjn4h8ek'}",2023-07-14T00:00:00+08:00,METAR RCQC 131600Z 00000KT  9999    FEW012 27/26 Q1005   RMK A2968=   ,2023-07-14_00:00:00,,靜風,10公里以上,無,27度C,"{'Zh_tw': '晴朗', 'En': 'Clear'}",2023-07-14T00:26:53+08:00
MFK,RCMT,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '北竿', 'En': 'Beigan'}","{'Zh_tw': '馬祖北竿機場', 'En': 'Beigan Airport'}","{'PositionLon': 119.99, 'PositionLat': 26.23, 'GeoHash': 'wstm4rn0c'}",2023-07-13T19:00:00+08:00,METAR RCMT 131100Z 23006KT 190V250 9999 FEW015 SCT200 28/23 Q1006  NOSIG RMK A2972(S)=  ,2023-07-13_19:00:00,230度,"6浬/時,陣風浬/時",10公里以上,無,28度C,"{'Zh_tw': '晴時多雲', 'En': 'Partly Cloudy'}",2023-07-14T00:26:53+08:00
GNI,RCGI,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '綠島', 'En': 'Lyudao'}","{'Zh_tw': '綠島機場', 'En': 'Lyudao Airport'}","{'PositionLon': 121.458, 'PositionLat': 22.6744, 'GeoHash': 'wsn2gzepb'}",2023-07-13T18:00:00+08:00,METAR RCGI 131000Z 06008KT 350V120 9999 FEW018 30/26 Q1007 NOSIG  RMK A2975(X)=  ,2023-07-13_18:00:00,060度,"8浬/時,陣風浬/時",10公里以上,無,30度C,"{'Zh_tw': '晴朗', 'En': 'Clear'}",2023-07-14T00:26:53+08:00
KHH,RCKH,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}",{},"{'Zh_tw': '高雄小港國際機場', 'En': 'Kaohsiung'}","{'PositionLon': 120.351, 'PositionLat': 22.5754, 'GeoHash': 'wsj86tszj'}",2023-07-14T00:00:00+08:00,METAR RCKH 131600Z 06003KT 9999 FEW015 SCT150 27/24 Q1006 NOSIG RMK        A2971=  ,2023-07-14_00:00:00,060度,"3浬/時,陣風浬/時",10公里以上,無,27度C,"{'Zh_tw': '晴時多雲', 'En': 'Partly Cloudy'}",2023-07-14T00:26:53+08:00
TPE,RCTP,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}",{},"{'Zh_tw': '臺北桃園國際機場', 'En': 'Taoyuan'}","{'PositionLon': 121.232, 'PositionLat': 25.0802, 'GeoHash': 'wsqnwtwqy'}",2023-07-14T00:00:00+08:00,METAR RCTP 131600Z 17005KT 120V200 9999 FEW020 BKN200 30/26 Q1005  NOSIG        RMK A2969=  ,2023-07-14_00:00:00,170度,"5浬/時,陣風浬/時",10公里以上,20000呎,30度C,"{'Zh_tw': '多雲時晴', 'En': 'Mostly Cloudy'}",2023-07-14T00:26:53+08:00
TNN,RCNN,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '臺南', 'En': 'Tainan'}","{'Zh_tw': '臺南機場', 'En': 'Tainan Airport'}","{'PositionLon': 120.2, 'PositionLat': 22.95, 'GeoHash': 'wsj6x1yvr'}",2023-07-14T00:00:00+08:00,METAR RCNN 131600Z 13002KT  9999    FEW012 26/23 Q1006   RMK A2972=   ,2023-07-14_00:00:00,130度,"2浬/時,陣風浬/時",10公里以上,無,26度C,"{'Zh_tw': '晴朗', 'En': 'Clear'}",2023-07-14T00:26:53+08:00
TTT,RCFN,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '臺東', 'En': 'Taitung'}","{'Zh_tw': '臺東機場', 'En': 'Taitung Airport'}","{'PositionLon': 121.093, 'PositionLat': 22.7567, 'GeoHash': 'wsn17w9pr'}",2023-07-13T22:00:00+08:00,METAR RCFN 131400Z 33003KT 300V010 9999 FEW025 26/26 Q1009 NOSIG  RMK A2980=  ,2023-07-13_22:00:00,330度,"3浬/時,陣風浬/時",10公里以上,無,26度C,"{'Zh_tw': '晴朗', 'En': 'Clear'}",2023-07-14T00:26:53+08:00
CYI,RCKU,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '嘉義', 'En': 'Chaiyi'}","{'Zh_tw': '嘉義機場', 'En': 'Chaiyi Airport'}","{'PositionLon': 120.383, 'PositionLat': 23.4667, 'GeoHash': 'wsjt7rupr'}",2023-07-14T00:00:00+08:00,METAR RCKU 131600Z 14003KT  9999    FEW016 27/24 Q1005   RMK A2969=   ,2023-07-14_00:00:00,140度,"3浬/時,陣風浬/時",10公里以上,無,27度C,"{'Zh_tw': '晴朗', 'En': 'Clear'}",2023-07-14T00:26:53+08:00
HUN,RCYU,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '花蓮', 'En': 'Hualien'}","{'Zh_tw': '花蓮機場', 'En': 'Hualien'}","{'PositionLon': 121.61, 'PositionLat': 24.0233, 'GeoHash': 'wsq2xm39y'}",2023-07-14T00:00:00+08:00,METAR RCYU 131600Z 00000KT  9999    FEW012 27/26 Q1008   RMK A2978  AWOS R21 WIND N/A=   ,2023-07-14_00:00:00,,靜風,10公里以上,無,27度C,"{'Zh_tw': '晴朗', 'En': 'Clear'}",2023-07-14T00:26:53+08:00
KNH,RCBS,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '金門', 'En': 'Kinmen'}","{'Zh_tw': '金門機場', 'En': 'Kinmen Airport'}","{'PositionLon': 118.37, 'PositionLat': 24.43, 'GeoHash': 'wsk4vx67h'}",2023-07-13T21:00:00+08:00,METAR RCBS 131300Z 22007KT 9999 FEW015 BKN100 28/26 Q1006 NOSIG  RMK 23007KT/R06 A2971(L)=  ,2023-07-13_21:00:00,220度,"7浬/時,陣風浬/時",10公里以上,10000呎,28度C,"{'Zh_tw': '多雲時晴', 'En': 'Mostly Cloudy'}",2023-07-14T00:26:53+08:00
KYD,RCLY,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '蘭嶼', 'En': 'Lanyu'}","{'Zh_tw': '蘭嶼機場', 'En': 'Lanyu Airport'}","{'PositionLon': 121.527, 'PositionLat': 22.0294, 'GeoHash': 'weymm6m68'}",2023-07-13T18:00:00+08:00,METAR RCLY 131000Z 07008KT 030V130 9999 FEW015 SCT020 31/26 Q1007  NOSIG RMK 26004KT/R13 MAX WND 15KT/R31 09KT/R13 A2974(J)=  ,2023-07-13_18:00:00,070度,"8浬/時,陣風浬/時",10公里以上,無,31度C,"{'Zh_tw': '晴時多雲', 'En': 'Partly Cloudy'}",2023-07-14T00:26:53+08:00
TSA,RCSS,"{'Zh_tw': '臺灣', 'En': 'Taiwan'}","{'Zh_tw': '臺北', 'En': 'Taipei'}","{'Zh_tw': '臺北松山國際機場', 'En': 'Songshan Airport'}","{'PositionLon': 121.552, 'PositionLat': 25.0696, 'GeoHash': 'wsqqtgz3n'}",2023-07-14T00:00:00+08:00,METAR RCSS 131600Z 07010KT 9999 FEW020 BKN200 29/23 Q1005 NOSIG  RMK A2969=  ,2023-07-14_00:00:00,070度,"10浬/時,陣風浬/時",10公里以上,20000呎,29度C,"{'Zh_tw': '多雲時晴', 'En': 'Mostly Cloudy'}",2023-07-14T00:26:53+08:00
