CountyID,CountyName,CountyCode,County,CityID,Version
A,臺北市,63000,Taipei,A,23.05.1
B,臺中市,66000,Taichung,B,23.05.1
C,基隆市,10017,Keelung,C,23.05.1
D,臺南市,67000,Tainan,D,23.05.1
E,高雄市,64000,Kaohsiung,E,23.05.1
F,新北市,65000,NewTaipei,F,23.05.1
G,宜蘭縣,10002,YilanCounty,G,23.05.1
H,桃園市,68000,Taoyuan,H,23.05.1
I,嘉義市,10020,Chiayi,I,23.05.1
J,新竹縣,10004,HsinchuCounty,J,23.05.1
K,苗栗縣,10005,MiaoliCounty,K,23.05.1
M,南投縣,10008,NantouCounty,M,23.05.1
N,彰化縣,10007,ChanghuaCounty,N,23.05.1
O,新竹市,10018,Hsinchu,O,23.05.1
P,雲林縣,10009,YunlinCounty,P,23.05.1
Q,嘉義縣,10010,ChiayiCounty,Q,23.05.1
T,屏東縣,10013,PingtungCounty,T,23.05.1
U,花蓮縣,10015,HualienCounty,U,23.05.1
V,臺東縣,10014,TaitungCounty,V,23.05.1
W,金門縣,09020,KinmenCounty,W,23.05.1
X,澎湖縣,10016,PenghuCounty,X,23.05.1
Z,連江縣,09007,LienchiangCounty,Z,23.05.1
