VillageName,VillageID,TownName,TownCode,CityName,Version
荖藤里,10020010001,東區,10020010,嘉義市,23.05.1
後湖里,10020010002,東區,10020010,嘉義市,23.05.1
仁義里,10020010003,東區,10020010,嘉義市,23.05.1
中庄里,10020010004,東區,10020010,嘉義市,23.05.1
頂庄里,10020010005,東區,10020010,嘉義市,23.05.1
圳頭里,10020010034,東區,10020010,嘉義市,23.05.1
新店里,10020010035,東區,10020010,嘉義市,23.05.1
後庄里,10020010036,東區,10020010,嘉義市,23.05.1
王田里,10020010037,東區,10020010,嘉義市,23.05.1
東川里,10020010038,東區,10020010,嘉義市,23.05.1
太平里,10020010039,東區,10020010,嘉義市,23.05.1
盧厝里,10020010041,東區,10020010,嘉義市,23.05.1
鹿寮里,10020010042,東區,10020010,嘉義市,23.05.1
長竹里,10020010043,東區,10020010,嘉義市,23.05.1
短竹里,10020010044,東區,10020010,嘉義市,23.05.1
新開里,10020010045,東區,10020010,嘉義市,23.05.1
宣信里,10020010046,東區,10020010,嘉義市,23.05.1
興南里,10020010047,東區,10020010,嘉義市,23.05.1
豐年里,10020010048,東區,10020010,嘉義市,23.05.1
芳草里,10020010049,東區,10020010,嘉義市,23.05.1
芳安里,10020010050,東區,10020010,嘉義市,23.05.1
頂寮里,10020010051,東區,10020010,嘉義市,23.05.1
安寮里,10020010052,東區,10020010,嘉義市,23.05.1
興安里,10020010053,東區,10020010,嘉義市,23.05.1
興村里,10020010054,東區,10020010,嘉義市,23.05.1
興仁里,10020010055,東區,10020010,嘉義市,23.05.1
過溝里,10020010056,東區,10020010,嘉義市,23.05.1
民族里,10020010057,東區,10020010,嘉義市,23.05.1
朝陽里,10020010058,東區,10020010,嘉義市,23.05.1
華南里,10020010059,東區,10020010,嘉義市,23.05.1
東興里,10020010060,東區,10020010,嘉義市,23.05.1
中山里,10020010061,東區,10020010,嘉義市,23.05.1
中央里,10020010062,東區,10020010,嘉義市,23.05.1
林森里,10020010063,東區,10020010,嘉義市,23.05.1
北門里,10020010064,東區,10020010,嘉義市,23.05.1
蘭潭里,10020010065,東區,10020010,嘉義市,23.05.1
文雅里,10020010066,東區,10020010,嘉義市,23.05.1
安業里,10020010067,東區,10020010,嘉義市,23.05.1
義教里,10020010068,東區,10020010,嘉義市,23.05.1
香湖里,10020020001,西區,10020020,嘉義市,23.05.1
湖邊里,10020020002,西區,10020020,嘉義市,23.05.1
北榮里,10020020003,西區,10020020,嘉義市,23.05.1
重興里,10020020005,西區,10020020,嘉義市,23.05.1
竹圍里,10020020009,西區,10020020,嘉義市,23.05.1
新厝里,10020020010,西區,10020020,嘉義市,23.05.1
保安里,10020020011,西區,10020020,嘉義市,23.05.1
北湖里,10020020012,西區,10020020,嘉義市,23.05.1
下埤里,10020020013,西區,10020020,嘉義市,23.05.1
竹村里,10020020014,西區,10020020,嘉義市,23.05.1
大溪里,10020020015,西區,10020020,嘉義市,23.05.1
福全里,10020020016,西區,10020020,嘉義市,23.05.1
西平里,10020020017,西區,10020020,嘉義市,23.05.1
磚磘里,10020020018,西區,10020020,嘉義市,23.05.1
港坪里,10020020019,西區,10020020,嘉義市,23.05.1
頭港里,10020020020,西區,10020020,嘉義市,23.05.1
劉厝里,10020020021,西區,10020020,嘉義市,23.05.1
新西里,10020020022,西區,10020020,嘉義市,23.05.1
書院里,10020020031,西區,10020020,嘉義市,23.05.1
培元里,10020020045,西區,10020020,嘉義市,23.05.1
垂楊里,10020020046,西區,10020020,嘉義市,23.05.1
車店里,10020020047,西區,10020020,嘉義市,23.05.1
福民里,10020020048,西區,10020020,嘉義市,23.05.1
湖內里,10020020049,西區,10020020,嘉義市,23.05.1
美源里,10020020050,西區,10020020,嘉義市,23.05.1
育英里,10020020051,西區,10020020,嘉義市,23.05.1
致遠里,10020020052,西區,10020020,嘉義市,23.05.1
光路里,10020020053,西區,10020020,嘉義市,23.05.1
翠岱里,10020020054,西區,10020020,嘉義市,23.05.1
自強里,10020020055,西區,10020020,嘉義市,23.05.1
永和里,10020020056,西區,10020020,嘉義市,23.05.1
新富里,10020020057,西區,10020020,嘉義市,23.05.1
文化里,10020020058,西區,10020020,嘉義市,23.05.1
西榮里,10020020059,西區,10020020,嘉義市,23.05.1
國華里,10020020060,西區,10020020,嘉義市,23.05.1
番社里,10020020061,西區,10020020,嘉義市,23.05.1
導明里,10020020062,西區,10020020,嘉義市,23.05.1
慶安里,10020020063,西區,10020020,嘉義市,23.05.1
後驛里,10020020064,西區,10020020,嘉義市,23.05.1
福安里,10020020065,西區,10020020,嘉義市,23.05.1
獅子里,10020020066,西區,10020020,嘉義市,23.05.1
紅瓦里,10020020067,西區,10020020,嘉義市,23.05.1
保福里,10020020068,西區,10020020,嘉義市,23.05.1
保生里,10020020069,西區,10020020,嘉義市,23.05.1
北新里,10020020070,西區,10020020,嘉義市,23.05.1
