StationID,StationName,Geometry,UpdateDate,CheckDate
C14,哈瑪星,POINT (120.275849 22.621617),2022-11-08T00:00:00,2023-07-11T00:25:00
C8,高雄展覽館,POINT (120.298022 22.610133),2022-11-08T00:00:00,2023-07-11T00:25:00
C3,前鎮之星,POINT (120.315368 22.595503),2022-11-08T00:00:00,2023-07-11T00:24:00
C10,光榮碼頭,POINT (120.293234 22.616805),2022-11-08T00:00:00,2023-07-11T00:25:00
C2,凱旋瑞田,POINT (120.319799 22.599533),2022-11-08T00:00:00,2023-07-11T00:24:00
C9,旅運中心,POINT (120.293424 22.611587),2022-11-08T00:00:00,2023-07-11T00:25:00
C13,駁二蓬萊,POINT (120.279923 22.6205),2022-11-08T00:00:00,2023-07-11T00:25:00
C12,駁二大義,POINT (120.284204 22.618562),2022-11-08T00:00:00,2023-07-11T00:25:00
C5,夢時代,POINT (120.305004 22.594886),2022-11-08T00:00:00,2023-07-11T00:25:00
C1,籬仔內,POINT (120.324651 22.604625),2022-11-08T00:00:00,2023-07-11T00:24:00
C6,經貿園區,POINT (120.30266 22.600961),2022-11-08T00:00:00,2023-07-11T00:25:00
C4,凱旋中華,POINT (120.310517 22.593656),2022-11-08T00:00:00,2023-07-11T00:24:00
C7,軟體園區,POINT (120.300832 22.605684),2022-11-08T00:00:00,2023-07-11T00:25:00
C11,真愛碼頭,POINT (120.289466 22.619315),2022-11-08T00:00:00,2023-07-11T00:25:00
C15,壽山公園站,POINT (120.278601 22.626541),2022-11-08T00:00:00,2023-07-11T00:26:00
C16,文武聖殿站,POINT (120.2807 22.62959),2022-11-08T00:00:00,2023-07-11T00:26:00
C17,鼓山區公所站,POINT (120.282567 22.635988),2022-11-08T00:00:00,2023-07-11T00:26:00
C32,凱旋公園站,POINT (120.322801 22.629468),2022-11-08T00:00:00,2023-07-11T00:27:00
C33,衛生局站,POINT (120.3237 22.6252),2022-11-08T00:00:00,2023-07-11T00:27:00
C34,五權國小站,POINT (120.3252 22.62121),2022-11-08T00:00:00,2023-07-11T00:27:00
C35,凱旋武昌站,POINT (120.3269 22.61693),2022-11-08T00:00:00,2023-07-11T00:27:00
C36,凱旋二聖站,POINT (120.3272 22.61253),2022-11-08T00:00:00,2023-07-11T00:27:00
C37,輕軌機廠站,POINT (120.3261 22.6085),2022-11-08T00:00:00,2023-07-11T00:27:00
C18,鼓山,POINT (120.281067 22.642037),2022-11-08T00:00:00,2023-07-11T00:26:00
C19,馬卡道,POINT (120.281415 22.647089),2022-11-08T00:00:00,2023-07-11T00:26:00
C20,臺鐵美術館,POINT (120.281669 22.652074),2022-11-08T00:00:00,2023-07-11T00:26:00
C21A,內惟藝術中心,POINT (120.282902 22.65503),2022-11-08T00:00:00,2023-07-11T00:26:00
C21,美術館,POINT (120.287198 22.655073),2022-11-08T00:00:00,2023-07-11T00:26:00
C22,聯合醫院,POINT (120.29095 22.654791),2022-11-08T00:00:00,2023-07-11T00:26:00
C23,龍華國小,POINT (120.295223 22.654606),2022-11-08T00:00:00,2023-07-11T00:26:00
C24,愛河之心,POINT (120.303038 22.656169),2022-11-08T00:00:00,2023-07-11T00:27:00
