日期,旅客人數(人次),客運收入(新臺幣元)
104年,"232,216,800","18,256,200,090"
104年 1月,"19,316,238","1,457,344,598"
104年 2月,"18,568,063","1,609,548,323"
104年 3月,"20,091,183","1,488,528,115"
104年 4月,"19,476,762","1,545,602,825"
104年 5月,"19,797,715","1,550,331,859"
104年 6月,"18,718,625","1,482,506,869"
104年 7月,"19,487,666","1,619,637,900"
104年 8月,"18,860,950","1,582,344,837"
104年 9月,"18,542,925","1,478,053,621"
104年 10月,"19,818,166","1,510,495,937"
104年 11月,"19,481,305","1,475,028,226"
104年 12月,"20,057,202","1,456,776,980"
105年,"230,364,970","18,126,468,917"
105年 1月,"18,585,940","1,424,981,043"
105年 2月,"18,952,154","1,637,917,958"
105年 3月,"19,135,957","1,393,590,038"
105年 4月,"19,509,381","1,578,098,459"
105年 5月,"19,526,080","1,510,234,408"
105年 6月,"18,563,530","1,505,302,690"
105年 7月,"19,211,123","1,595,967,745"
105年 8月,"19,647,062","1,617,446,309"
105年 9月,"17,490,288","1,388,552,257"
105年 10月,"19,907,658","1,530,377,881"
105年 11月,"19,073,901","1,416,637,719"
105年 12月,"20,761,896","1,527,362,410"
106年,"232,805,994","18,132,149,228"
106年 1月,"19,774,298","1,563,798,910"
106年 2月,"18,600,683","1,487,823,341"
106年 3月,"19,835,970","1,452,604,390"
106年 4月,"19,899,157","1,563,978,321"
106年 5月,"19,923,277","1,552,638,094"
106年 6月,"17,793,599","1,379,613,791"
106年 7月,"18,927,909","1,563,272,667"
106年 8月,"19,855,583","1,608,255,836"
106年 9月,"18,401,134","1,416,311,955"
106年 10月,"19,814,135","1,579,139,007"
106年 11月,"19,050,161","1,402,971,040"
106年 12月,"20,930,088","1,561,741,876"
107年,"231,267,955","17,853,724,274"
107年 1月,"18,743,104","1,386,953,764"
107年 2月,"17,702,525","1,479,004,836"
107年 3月,"19,852,999","1,405,977,612"
107年 4月,"20,170,323","1,613,451,099"
107年 5月,"19,631,955","1,416,783,936"
107年 6月,"18,672,561","1,461,620,026"
107年 7月,"18,799,746","1,563,959,461"
107年 8月,"18,995,266","1,595,542,564"
107年 9月,"18,349,552","1,460,267,260"
107年 10月,"19,433,439","1,457,327,507"
107年 11月,"19,805,858","1,442,240,372"
107年 12月,"21,110,627","1,570,595,837"
108年,"236,151,449","17,770,071,279"
108年 1月,"19,529,195","1,396,766,178"
108年 2月,"19,002,601","1,504,751,217"
108年 3月,"20,165,018","1,467,502,449"
108年 4月,"20,067,487","1,535,451,629"
108年 5月,"19,223,512","1,405,069,955"
108年 6月,"18,980,868","1,502,638,995"
108年 7月,"19,509,476","1,564,854,710"
108年 8月,"19,116,679","1,548,896,954"
108年 9月,"19,144,283","1,452,115,737"
108年 10月,"20,537,788","1,490,811,757"
108年 11月,"20,076,579","1,435,190,828"
108年 12月,"20,797,963","1,466,020,870"
109年,"203,520,929","14,941,480,296"
109年 1月,"19,456,096","1,538,684,421"
109年 2月,"15,246,902","1,114,821,135"
109年 3月,"14,987,108","964,800,250"
109年 4月,"12,841,295","844,512,892"
109年 5月,"15,081,166","1,032,930,440"
109年 6月,"16,640,222","1,242,000,321"
109年 7月,"17,920,938","1,393,385,410"
109年 8月,"18,069,035","1,496,962,440"
109年 9月,"17,328,669","1,284,962,490"
109年 10月,"18,995,871","1,460,527,618"
109年 11月,"18,333,542","1,313,265,181"
109年 12月,"18,620,085","1,254,627,698"
110年,"154,927,066","11,181,025,198"
110年 1月,"16,378,727","1,167,780,449"
110年 2月,"15,313,939","1,231,354,142"
110年 3月,"17,994,402","1,263,305,089"
110年 4月,"18,045,990","1,319,024,267"
110年 5月,"10,140,571","699,548,202"
110年 6月,"3,476,302","180,350,107"
110年 7月,"5,075,570","340,836,193"
110年 8月,"9,127,991","684,919,765"
110年 9月,"11,511,313","839,185,743"
110年 10月,"14,784,404","1,091,705,428"
110年 11月,"15,696,105","1,116,675,424"
110年 12月,"17,381,752","1,246,340,389"
111年,"170,254,450","12,800,770,749"
111年 1月,"13,847,853","1,032,368,293"
111年 2月,"12,613,028","1,022,481,796"
111年 3月,"16,141,256","1,138,835,777"
111年 4月,"13,162,348","1,003,797,633"
111年 5月,"9,330,717","646,873,396"
111年 6月,"10,548,931","812,049,680"
111年 7月,"13,857,341","1,164,123,172"
111年 8月,"15,253,461","1,278,621,907"
111年 9月,"14,895,604","1,123,520,609"
111年 10月,"16,012,935","1,165,901,436"
111年 11月,"16,815,460","1,154,445,553"
111年 12月,"17,775,516","1,257,751,497"
112年(1月至5月),"88,033,460","6,718,456,186"
112年 1月,"17,228,176","1,395,908,229"
112年 2月,"16,760,067","1,233,101,902"
112年 3月,"17,984,844","1,307,037,158"
112年 4月,"18,274,320","1,446,152,609"
112年 5月,"17,786,053","1,336,256,288"
